Country Name,Number of PM10 Stations,Area (in square kilometers),"Density of PM10 Stations per 1,000 sq. km"
United Kingdom,422,243782.50944652193,1.7310511773715795
Thailand,340,514453.4999703404,0.6608954939943102
Turkey,369,780080.2285394405,0.4730282687601068
United States of America,4310,9464444.361732827,0.4553885928503562
India,552,3151478.4026233396,0.17515588859517697
Philippines,19,293237.5330105196,0.06479388843896186
